ticket_id,employee_id,category,description,status,priority,created_at
TKT-10001,EMP898,Salary Certificate,Salary Certificate request raised by EMP898.,In Progress,High,2023-09-25 16:04:00
TKT-10002,EMP361,Employment Verification,Employment Verification request raised by EMP361.,Resolved,Normal,2024-12-12 08:48:00
TKT-10003,EMP054,General HR Query,General HR Query request raised by EMP054.,In Progress,High,2024-03-30 18:08:00
TKT-10004,EMP004,Employment Verification,Employment Verification request raised by EMP004.,In Progress,High,2023-11-09 13:36:00
TKT-10005,EMP085,Salary Certificate,Salary Certificate request raised by EMP085.,In Progress,Low,2024-06-12 18:48:00
TKT-10006,EMP134,Benefits Support,Benefits Support request raised by EMP134.,Closed,Normal,2024-04-07 15:55:00
TKT-10007,EMP753,Reimbursement,Reimbursement request raised by EMP753.,Resolved,Low,2024-12-04 17:52:00
TKT-10008,EMP336,Payroll Issue,Payroll Issue request raised by EMP336.,In Progress,Low,2024-02-29 13:11:00
TKT-10009,EMP403,Employment Verification,Employment Verification request raised by EMP403.,In Progress,Low,2023-01-24 16:41:00
TKT-10010,EMP627,General HR Query,General HR Query request raised by EMP627.,In Progress,Low,2024-04-18 11:16:00
TKT-10011,EMP719,Reimbursement,Reimbursement request raised by EMP719.,Open,Normal,2024-09-24 14:38:00
TKT-10012,EMP267,Reimbursement,Reimbursement request raised by EMP267.,Open,Normal,2023-06-24 17:07:00
TKT-10013,EMP015,General HR Query,General HR Query request raised by EMP015.,Closed,Normal,2024-11-20 15:07:00
TKT-10014,EMP230,General HR Query,General HR Query request raised by EMP230.,In Progress,Low,2023-09-30 12:47:00
TKT-10015,EMP507,Employment Verification,Employment Verification request raised by EMP507.,In Progress,Normal,2023-07-31 17:13:00
TKT-10016,EMP844,Payroll Issue,Payroll Issue request raised by EMP844.,In Progress,Normal,2023-07-04 14:50:00
TKT-10017,EMP150,Salary Certificate,Salary Certificate request raised by EMP150.,Resolved,Normal,2023-08-30 17:28:00
TKT-10018,EMP930,Reimbursement,Reimbursement request raised by EMP930.,Resolved,High,2024-12-01 18:29:00
TKT-10019,EMP088,Salary Certificate,Salary Certificate request raised by EMP088.,Closed,Low,2023-11-28 14:43:00
TKT-10020,EMP218,General HR Query,General HR Query request raised by EMP218.,Closed,High,2024-03-09 17:16:00
TKT-10021,EMP075,Salary Certificate,Salary Certificate request raised by EMP075.,Open,Low,2023-12-07 11:30:00
TKT-10022,EMP931,Payroll Issue,Payroll Issue request raised by EMP931.,Open,Low,2023-09-17 16:39:00
TKT-10023,EMP391,Payroll Issue,Payroll Issue request raised by EMP391.,Closed,High,2024-01-15 10:57:00
TKT-10024,EMP573,Salary Certificate,Salary Certificate request raised by EMP573.,In Progress,Normal,2023-06-23 16:31:00
TKT-10025,EMP953,Payroll Issue,Payroll Issue request raised by EMP953.,Closed,Low,2023-04-02 13:45:00
TKT-10026,EMP544,Employment Verification,Employment Verification request raised by EMP544.,In Progress,Normal,2023-04-30 13:02:00
TKT-10027,EMP131,Employment Verification,Employment Verification request raised by EMP131.,Resolved,High,2024-01-05 14:18:00
TKT-10028,EMP925,Payroll Issue,Payroll Issue request raised by EMP925.,Resolved,High,2023-11-17 14:57:00
TKT-10029,EMP169,Payroll Issue,Payroll Issue request raised by EMP169.,Closed,Low,2024-07-23 18:40:00
TKT-10030,EMP818,Employment Verification,Employment Verification request raised by EMP818.,Open,Low,2023-06-02 08:14:00
TKT-10031,EMP188,Salary Certificate,Salary Certificate request raised by EMP188.,Closed,Normal,2023-06-17 15:27:00
TKT-10032,EMP119,Employment Verification,Employment Verification request raised by EMP119.,Open,Normal,2024-01-01 16:31:00
TKT-10033,EMP469,Employment Verification,Employment Verification request raised by EMP469.,Open,High,2023-06-01 09:22:00
TKT-10034,EMP096,Reimbursement,Reimbursement request raised by EMP096.,Resolved,Low,2023-06-22 16:52:00
TKT-10035,EMP280,Benefits Support,Benefits Support request raised by EMP280.,In Progress,High,2023-01-05 16:49:00
TKT-10036,EMP585,Reimbursement,Reimbursement request raised by EMP585.,Closed,Low,2023-09-10 15:43:00
TKT-10037,EMP097,Payroll Issue,Payroll Issue request raised by EMP097.,Open,Normal,2024-11-28 18:07:00
TKT-10038,EMP404,Payroll Issue,Payroll Issue request raised by EMP404.,Open,Normal,2023-06-07 08:05:00
TKT-10039,EMP472,General HR Query,General HR Query request raised by EMP472.,Closed,Normal,2024-10-05 12:38:00
TKT-10040,EMP674,Salary Certificate,Salary Certificate request raised by EMP674.,Resolved,Low,2024-11-02 17:28:00
TKT-10041,EMP333,General HR Query,General HR Query request raised by EMP333.,In Progress,Low,2023-02-19 18:18:00
TKT-10042,EMP331,Salary Certificate,Salary Certificate request raised by EMP331.,Open,High,2024-09-08 14:05:00
TKT-10043,EMP409,Payroll Issue,Payroll Issue request raised by EMP409.,In Progress,Low,2024-02-13 09:01:00
TKT-10044,EMP873,Reimbursement,Reimbursement request raised by EMP873.,In Progress,Normal,2024-02-17 12:41:00
TKT-10045,EMP771,General HR Query,General HR Query request raised by EMP771.,In Progress,Low,2023-11-02 15:51:00
TKT-10046,EMP443,General HR Query,General HR Query request raised by EMP443.,Resolved,High,2024-09-09 10:22:00
TKT-10047,EMP682,Salary Certificate,Salary Certificate request raised by EMP682.,Resolved,High,2023-07-24 15:28:00
TKT-10048,EMP907,Employment Verification,Employment Verification request raised by EMP907.,Closed,Normal,2024-07-30 17:27:00
TKT-10049,EMP093,Employment Verification,Employment Verification request raised by EMP093.,Resolved,High,2023-07-10 14:40:00
TKT-10050,EMP437,Salary Certificate,Salary Certificate request raised by EMP437.,Open,High,2023-12-16 15:43:00
TKT-10051,EMP230,General HR Query,General HR Query request raised by EMP230.,In Progress,Normal,2024-06-23 18:41:00
TKT-10052,EMP538,Salary Certificate,Salary Certificate request raised by EMP538.,Resolved,Normal,2024-03-23 09:58:00
TKT-10053,EMP821,Employment Verification,Employment Verification request raised by EMP821.,Resolved,Low,2023-05-11 18:57:00
TKT-10054,EMP308,Reimbursement,Reimbursement request raised by EMP308.,Closed,Normal,2024-08-05 08:35:00
TKT-10055,EMP079,Salary Certificate,Salary Certificate request raised by EMP079.,Open,High,2024-03-11 14:06:00
TKT-10056,EMP476,General HR Query,General HR Query request raised by EMP476.,Resolved,Normal,2023-09-18 17:05:00
TKT-10057,EMP788,Benefits Support,Benefits Support request raised by EMP788.,Open,Low,2024-11-08 15:11:00
TKT-10058,EMP806,Reimbursement,Reimbursement request raised by EMP806.,Closed,Low,2023-03-27 14:56:00
TKT-10059,EMP722,Payroll Issue,Payroll Issue request raised by EMP722.,Resolved,High,2024-04-10 18:28:00
TKT-10060,EMP639,Payroll Issue,Payroll Issue request raised by EMP639.,Resolved,Low,2023-08-05 10:05:00
TKT-10061,EMP765,Benefits Support,Benefits Support request raised by EMP765.,Resolved,High,2023-04-19 14:34:00
TKT-10062,EMP019,Salary Certificate,Salary Certificate request raised by EMP019.,Closed,Low,2023-01-14 10:41:00
TKT-10063,EMP489,Employment Verification,Employment Verification request raised by EMP489.,Closed,High,2024-09-08 15:19:00
TKT-10064,EMP634,Benefits Support,Benefits Support request raised by EMP634.,Resolved,High,2024-11-20 18:25:00
TKT-10065,EMP824,Payroll Issue,Payroll Issue request raised by EMP824.,Open,Low,2023-05-19 08:12:00
TKT-10066,EMP115,Salary Certificate,Salary Certificate request raised by EMP115.,In Progress,Low,2023-08-03 15:41:00
TKT-10067,EMP149,General HR Query,General HR Query request raised by EMP149.,In Progress,Normal,2024-10-03 16:12:00
TKT-10068,EMP089,Payroll Issue,Payroll Issue request raised by EMP089.,Closed,Low,2024-04-30 14:01:00
TKT-10069,EMP120,Reimbursement,Reimbursement request raised by EMP120.,In Progress,High,2024-12-20 15:31:00
TKT-10070,EMP483,Salary Certificate,Salary Certificate request raised by EMP483.,Closed,High,2023-09-06 11:18:00
TKT-10071,EMP584,Employment Verification,Employment Verification request raised by EMP584.,Open,Normal,2023-01-09 09:40:00
TKT-10072,EMP868,General HR Query,General HR Query request raised by EMP868.,Closed,Normal,2024-05-22 17:38:00
TKT-10073,EMP749,Benefits Support,Benefits Support request raised by EMP749.,Resolved,Low,2024-05-14 14:31:00
TKT-10074,EMP526,Benefits Support,Benefits Support request raised by EMP526.,Closed,Low,2023-03-04 16:01:00
TKT-10075,EMP433,Benefits Support,Benefits Support request raised by EMP433.,Resolved,High,2023-03-07 12:57:00
TKT-10076,EMP664,Employment Verification,Employment Verification request raised by EMP664.,Closed,Low,2024-05-21 17:41:00
TKT-10077,EMP356,Employment Verification,Employment Verification request raised by EMP356.,Closed,Low,2023-06-15 12:46:00
TKT-10078,EMP197,Employment Verification,Employment Verification request raised by EMP197.,Resolved,Normal,2023-08-26 16:14:00
TKT-10079,EMP602,General HR Query,General HR Query request raised by EMP602.,Resolved,High,2024-11-03 15:08:00
TKT-10080,EMP905,Payroll Issue,Payroll Issue request raised by EMP905.,Closed,Normal,2024-11-20 18:47:00
TKT-10081,EMP369,Employment Verification,Employment Verification request raised by EMP369.,In Progress,High,2023-08-01 12:44:00
TKT-10082,EMP768,Salary Certificate,Salary Certificate request raised by EMP768.,Closed,Low,2023-06-27 11:10:00
TKT-10083,EMP621,Employment Verification,Employment Verification request raised by EMP621.,Open,Normal,2024-05-20 12:15:00
TKT-10084,EMP215,Benefits Support,Benefits Support request raised by EMP215.,Open,Low,2024-01-03 12:22:00
TKT-10085,EMP694,Reimbursement,Reimbursement request raised by EMP694.,In Progress,High,2023-02-02 09:21:00
TKT-10086,EMP441,Salary Certificate,Salary Certificate request raised by EMP441.,In Progress,Low,2024-07-29 11:31:00
TKT-10087,EMP265,Payroll Issue,Payroll Issue request raised by EMP265.,Resolved,Low,2024-07-24 12:57:00
TKT-10088,EMP155,General HR Query,General HR Query request raised by EMP155.,Open,High,2023-02-21 15:51:00
TKT-10089,EMP469,Salary Certificate,Salary Certificate request raised by EMP469.,Open,High,2024-09-16 09:52:00
TKT-10090,EMP576,Salary Certificate,Salary Certificate request raised by EMP576.,Open,Low,2024-10-07 09:55:00
TKT-10091,EMP211,Payroll Issue,Payroll Issue request raised by EMP211.,In Progress,High,2023-10-27 15:48:00
TKT-10092,EMP519,Employment Verification,Employment Verification request raised by EMP519.,Open,Low,2024-10-24 13:21:00
TKT-10093,EMP839,Reimbursement,Reimbursement request raised by EMP839.,Open,Low,2024-03-25 14:49:00
TKT-10094,EMP788,Salary Certificate,Salary Certificate request raised by EMP788.,In Progress,Normal,2023-12-16 12:32:00
TKT-10095,EMP176,Salary Certificate,Salary Certificate request raised by EMP176.,Resolved,Normal,2024-02-29 13:40:00
TKT-10096,EMP681,Reimbursement,Reimbursement request raised by EMP681.,In Progress,High,2024-03-07 11:08:00
TKT-10097,EMP822,Employment Verification,Employment Verification request raised by EMP822.,Closed,Normal,2024-04-14 16:50:00
TKT-10098,EMP699,Payroll Issue,Payroll Issue request raised by EMP699.,Open,Normal,2023-05-30 08:45:00
TKT-10099,EMP826,Benefits Support,Benefits Support request raised by EMP826.,Open,Low,2023-12-13 13:25:00
TKT-10100,EMP791,Reimbursement,Reimbursement request raised by EMP791.,Closed,Low,2024-02-07 08:42:00
TKT-10101,EMP945,General HR Query,General HR Query request raised by EMP945.,In Progress,High,2023-03-01 18:45:00
TKT-10102,EMP819,General HR Query,General HR Query request raised by EMP819.,Resolved,Normal,2024-02-16 18:44:00
TKT-10103,EMP567,Payroll Issue,Payroll Issue request raised by EMP567.,Resolved,Normal,2023-01-09 12:57:00
TKT-10104,EMP541,Benefits Support,Benefits Support request raised by EMP541.,In Progress,High,2024-02-18 15:41:00
TKT-10105,EMP211,Benefits Support,Benefits Support request raised by EMP211.,Closed,High,2023-12-20 18:25:00
TKT-10106,EMP795,Reimbursement,Reimbursement request raised by EMP795.,Resolved,Low,2023-02-07 16:21:00
TKT-10107,EMP400,General HR Query,General HR Query request raised by EMP400.,In Progress,High,2024-07-07 12:13:00
TKT-10108,EMP096,Benefits Support,Benefits Support request raised by EMP096.,Resolved,High,2023-12-15 18:10:00
TKT-10109,EMP024,Salary Certificate,Salary Certificate request raised by EMP024.,Resolved,Low,2023-11-08 14:32:00
TKT-10110,EMP114,General HR Query,General HR Query request raised by EMP114.,Open,Normal,2023-09-23 18:32:00
TKT-10111,EMP363,Salary Certificate,Salary Certificate request raised by EMP363.,Open,High,2023-05-08 15:19:00
TKT-10112,EMP587,General HR Query,General HR Query request raised by EMP587.,Open,Normal,2023-12-14 11:51:00
TKT-10113,EMP764,Benefits Support,Benefits Support request raised by EMP764.,In Progress,Normal,2023-11-03 12:42:00
TKT-10114,EMP804,General HR Query,General HR Query request raised by EMP804.,In Progress,High,2024-01-22 16:47:00
TKT-10115,EMP254,Salary Certificate,Salary Certificate request raised by EMP254.,Resolved,High,2024-08-19 11:52:00
TKT-10116,EMP798,Payroll Issue,Payroll Issue request raised by EMP798.,Closed,Low,2023-05-31 14:53:00
TKT-10117,EMP422,Salary Certificate,Salary Certificate request raised by EMP422.,Open,Low,2024-03-11 10:30:00
TKT-10118,EMP220,Employment Verification,Employment Verification request raised by EMP220.,Open,Normal,2024-11-24 16:25:00
TKT-10119,EMP603,Benefits Support,Benefits Support request raised by EMP603.,Closed,Normal,2024-08-21 15:40:00
TKT-10120,EMP434,Employment Verification,Employment Verification request raised by EMP434.,Closed,High,2024-03-02 10:09:00
TKT-10121,EMP518,Reimbursement,Reimbursement request raised by EMP518.,Closed,High,2024-04-13 10:45:00
TKT-10122,EMP526,Benefits Support,Benefits Support request raised by EMP526.,Open,High,2023-08-06 15:30:00
TKT-10123,EMP034,General HR Query,General HR Query request raised by EMP034.,In Progress,High,2024-01-14 09:38:00
TKT-10124,EMP873,Employment Verification,Employment Verification request raised by EMP873.,Open,Low,2024-01-14 17:18:00
TKT-10125,EMP042,Benefits Support,Benefits Support request raised by EMP042.,In Progress,Low,2024-01-16 12:23:00
TKT-10126,EMP311,Payroll Issue,Payroll Issue request raised by EMP311.,Closed,Low,2023-05-27 10:50:00
TKT-10127,EMP604,Employment Verification,Employment Verification request raised by EMP604.,Open,Normal,2023-10-18 11:11:00
TKT-10128,EMP839,General HR Query,General HR Query request raised by EMP839.,Closed,Low,2023-05-06 16:22:00
TKT-10129,EMP070,Salary Certificate,Salary Certificate request raised by EMP070.,Closed,Normal,2024-08-09 12:36:00
TKT-10130,EMP464,Payroll Issue,Payroll Issue request raised by EMP464.,Closed,Normal,2024-09-12 10:48:00
TKT-10131,EMP142,Benefits Support,Benefits Support request raised by EMP142.,Closed,Normal,2024-11-14 15:09:00
TKT-10132,EMP888,General HR Query,General HR Query request raised by EMP888.,Resolved,Low,2024-10-01 18:39:00
TKT-10133,EMP420,Employment Verification,Employment Verification request raised by EMP420.,In Progress,Normal,2023-12-14 16:02:00
TKT-10134,EMP982,General HR Query,General HR Query request raised by EMP982.,Closed,High,2023-10-12 18:05:00
TKT-10135,EMP887,Reimbursement,Reimbursement request raised by EMP887.,Open,High,2024-10-07 12:35:00
TKT-10136,EMP661,Salary Certificate,Salary Certificate request raised by EMP661.,Open,Low,2024-09-25 16:36:00
TKT-10137,EMP776,Salary Certificate,Salary Certificate request raised by EMP776.,In Progress,Normal,2024-05-29 08:07:00
TKT-10138,EMP675,Benefits Support,Benefits Support request raised by EMP675.,In Progress,Low,2023-10-09 11:15:00
TKT-10139,EMP850,General HR Query,General HR Query request raised by EMP850.,Closed,Low,2024-06-30 17:20:00
TKT-10140,EMP412,Benefits Support,Benefits Support request raised by EMP412.,Open,Normal,2023-01-24 13:27:00
TKT-10141,EMP185,Employment Verification,Employment Verification request raised by EMP185.,Open,High,2023-11-21 14:16:00
TKT-10142,EMP094,Salary Certificate,Salary Certificate request raised by EMP094.,Open,High,2023-06-22 12:09:00
TKT-10143,EMP188,Payroll Issue,Payroll Issue request raised by EMP188.,Open,Low,2023-11-11 14:43:00
TKT-10144,EMP174,Salary Certificate,Salary Certificate request raised by EMP174.,Resolved,Low,2023-01-28 08:19:00
TKT-10145,EMP400,Salary Certificate,Salary Certificate request raised by EMP400.,Resolved,Low,2024-02-27 13:16:00
TKT-10146,EMP385,Salary Certificate,Salary Certificate request raised by EMP385.,Open,Low,2023-09-03 17:37:00
TKT-10147,EMP243,Employment Verification,Employment Verification request raised by EMP243.,Closed,Low,2023-10-03 08:20:00
TKT-10148,EMP476,Benefits Support,Benefits Support request raised by EMP476.,Closed,Low,2024-05-10 08:26:00
TKT-10149,EMP649,Reimbursement,Reimbursement request raised by EMP649.,Open,Normal,2024-07-21 17:43:00
